perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Best_RMSE_Model,Best_Pearson_Model
ZEB2,0.2037994156396891,0.0899651387043527,0.2025189916567354,0.1194260091458438,0.2226455510850193,0.0253051625265674,0.2030371498558346,0.0951052059297136,0.2027577642795056,0.1101454200576171,XGBoost,XGBoost
FOXA3,0.203737523257026,0.0470296670828629,0.2032706247382144,0.0513762335353448,0.2154365211625233,0.1316694525063221,0.2028111286729784,0.0942899973049141,0.2028257103451702,0.094001908736779,ElasticNet,MLP
MNX1,0.1668124373069475,0.0848220005584214,0.1663043070280213,0.0925723253965958,0.1872935350180817,0.0735733484858938,0.1665853997737768,0.0931603511202719,0.1660906713622082,0.1191550890041731,ElasticNet_1024,ElasticNet_1024
EBF3,0.1914867672923414,0.0128031480806495,0.190236848717394,0.068887883188082,0.2130562812171309,0.0781075256395529,0.1898578132570086,0.0890516042813616,0.1897184084743992,0.1052001237342238,ElasticNet_1024,ElasticNet_1024
EGR3,0.1552136343766705,0.0820625130196387,0.154335798155248,0.1004088805188449,0.1947045239814495,0.0191124496915037,0.154672615906323,0.0862259681053783,0.1544827162562745,0.1010733832079698,XGBoost,ElasticNet_1024
KLF5,0.1546106193068656,0.0727571753020675,0.1542141797281405,0.0658910900790555,0.1683394337423469,0.0377564620285281,0.1539203932583515,0.0855349348482589,0.1529049620326214,0.1402322835930232,ElasticNet_1024,ElasticNet_1024
NCOA3,0.1175791371416969,0.0372109382288579,0.1161823583532116,0.0764684064873156,0.1248347158302111,0.0305612243148635,0.1163465444924816,0.0847520459664946,0.1161856941766534,0.1003539646945864,XGBoost,ElasticNet_1024
SOX15,0.1572603481796895,0.0587849509332194,0.1563824200693958,0.0686699980073287,0.1768191798747827,-0.0364454111315316,0.1562259931598358,0.08443570044145,0.155414704899845,0.1336577432972676,ElasticNet_1024,ElasticNet_1024
NFE2L2,0.1933350808822488,0.1406215126489602,0.1947297981756942,0.1289244826768829,0.2770589173344207,0.1523548077158506,0.1897456451455442,0.0827133670756861,0.1875619975255844,0.1971766941020011,ElasticNet_1024,ElasticNet_1024
JDP2,0.1426879144600996,0.0768813860797594,0.14165551444516,0.0332665918602302,0.1591139290229448,0.0277178016429587,0.1408916508732418,0.080438848482078,0.140323124852318,0.1195712046682114,ElasticNet_1024,ElasticNet_1024
FOXD2,0.1214473950585828,0.03750889239994,0.1208140316547738,0.080730465631982,0.1522368465588703,-0.0019275030498668,0.1209135076254334,0.0802749057670516,0.1205185959248792,0.1108519346152249,ElasticNet_1024,ElasticNet_1024
ZNF827,0.1891461153180879,0.0156789895643324,0.186007956661984,0.0460540657366149,0.2042662977894238,0.0247907114601469,0.1857728109115802,0.0771404551779469,0.1849379587011005,0.1220577402446966,ElasticNet_1024,ElasticNet_1024
FOXJ1,0.2556959212068111,0.0781953282404918,0.2435690309106456,0.0416314777646891,0.4567388620345318,0.0057524571567508,0.231487563223416,0.0743149001163557,0.230885284098827,0.1094978400801749,ElasticNet_1024,ElasticNet_1024
NKX3-2,0.1521775594964416,0.0518087235520095,0.1518373107812009,0.054320888702173,0.173977724117006,0.0341790585878112,0.1516442277696186,0.0736488459917172,0.1512533195873676,0.1038371969130934,ElasticNet_1024,ElasticNet_1024
RBMS1,0.1003606929935178,0.0443363612104248,0.0995250164720901,0.0720659344366595,0.1230141807739725,0.0141084194614659,0.0996544539989539,0.0718199654040341,0.0990038797551689,0.13301977228497,ElasticNet_1024,ElasticNet_1024
NFE2,0.1455898625364421,0.0739266107269374,0.145317557622385,0.0936916138365257,0.157889614415355,0.0562481299211018,0.1452746399887446,0.0690433249494899,0.1446231244044037,0.1210787614148467,ElasticNet_1024,ElasticNet_1024
ZNF286B,0.1718938517001685,0.0550980097002662,0.1708005480959224,0.1023250269673306,0.1974195763564393,0.0644558838259266,0.1714257473584526,0.061865716105007,0.170542868798973,0.1206963058223489,ElasticNet_1024,ElasticNet_1024
NSD2,0.1956370678272196,0.0717280188357926,0.1956416197048483,0.0282553311189071,0.2124816083665984,0.0846005630082732,0.1950163493947004,0.055818980878545,0.1938074155000522,0.1130700394478546,ElasticNet_1024,ElasticNet_1024
SALL3,0.1186153451770707,0.0583516441232129,0.1178905067446128,0.1049372266219111,0.1343721451702931,0.1140124724349002,0.1182444048373302,0.0409483322378338,0.1173667433510672,0.1405458123929171,ElasticNet_1024,ElasticNet_1024
HIC1,0.1348082357724856,0.0416001270914789,0.1342035032455261,0.0571267590425943,0.1504466711394546,0.0531298029353052,0.1340388023180743,0.0290739716569142,0.133271164678772,0.1147056857515832,ElasticNet_1024,ElasticNet_1024
