perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
EGR2,0.1461583073099034,0.0492920146915435,0.145627016498562,0.0519444880443031,0.1529568254579061,0.0175548017187198,0.1457121272750586,0.0559667388666915,0.1456976289412088,0.0420831520655453,-0.013883586801146201,1.4498333849810585e-05
EGR3,0.1560158117080519,0.074864004786264,0.1546855041465117,0.1001803429286208,0.1691696850088504,0.0188275244970965,0.1546477986688492,0.1097256568713888,0.1544456387605114,0.122342729591401,0.012617072720012196,0.00020215990833780118
ELF4,0.1107642811147781,0.0438216947008615,0.1104607297671359,0.0374650134805976,0.1265588887530425,-0.021908826481406,0.1104219900159914,0.0583718159979117,0.1105597501796336,0.0080179545533813,-0.0503538614445304,-0.00013776016364219767
ELK3,0.0902477332397202,0.0637629211871419,0.0896355077013176,0.0447660664936881,0.0986415737217419,0.0006562206401916,0.0894447251987216,0.0748480988984911,0.0896369565926591,0.0359096837300108,-0.0389384151684803,-0.00019223139393750865
EOMES,0.364734317347935,0.0217087872132463,0.3629518182126142,-0.0020189878392772,0.3697852095625986,0.033371711700451,0.3591432951391864,-0.0441212866708661,0.3591573353000418,-0.0152916379218509,0.028829648749015203,-1.4040160855377515e-05
EP300,0.1396837573562408,0.0831044096766278,0.1394844113970113,0.0607182524956389,0.1639498994936785,0.004560966341077,0.1393327412969704,0.0860963045464987,0.1395589169390718,0.0694291945027544,-0.016667110043744313,-0.00022617564210139496
EPAS1,0.0975723934204946,0.1021158685752581,0.0947744050807008,0.0880165667527955,0.0968035522088485,0.0487542954455142,0.0956165688267223,0.0930687290788655,0.0957439810678053,0.0776367589844049,-0.015431970094460595,-0.0001274122410829942
ESX1,0.1928895632674746,-0.0010643273579985,0.1911349914326192,-0.0005129619686627,0.2064107115815711,-0.0452514613617585,0.191388944291036,-0.0289322539453617,0.1913758529782918,,,1.3091312744212269e-05
ETS1,0.1904616419949342,0.0913266352784258,0.1900345344409118,0.094914576295845,0.2114454960290115,0.0306455436189737,0.189753779182727,0.0932974686050803,0.1897472420060555,0.1035304512198433,0.010232982614763006,6.5371766715116575e-06
FEZF2,0.1722364280110541,0.0213541271584624,0.1714135284784562,0.0381183740542026,0.1998919643305695,-0.0444812660400667,0.171140518642541,0.0287267727711118,0.1711139905385488,0.0314036691690663,0.0026768963979544973,2.6528103992201624e-05
FLI1,0.2438856857441644,0.0160066623349089,0.241949144737728,0.0377510963135868,0.2717296444665121,-0.0012484275003625,0.2418384865868636,-0.008372927002317,0.2414421806156919,0.049624423626498,0.057997350628815,0.00039630597117171207
FOSB,0.1537135634114577,0.1792676402466704,0.1521765031697764,0.1981917364973522,0.1651663048959345,0.0687486693688874,0.1532160275004962,0.1833130493773405,0.152030576259517,0.2224064976686325,0.03909344829129199,0.0011854512409792128
FOSL1,0.1230125949031464,0.0560721806108986,0.1226940015089335,0.0568716793880583,0.1335965250487104,-0.022820104630546,0.1227676749718165,0.0575824201884034,0.1228656474952646,0.0406400621088835,-0.016942358079519902,-9.797252344810603e-05
FOSL2,0.1840056338230816,0.0421435664316877,0.1835495737293718,0.0449441017735072,0.2089564692298928,0.0218330613380175,0.1835375939702216,0.0574961074091158,0.1837679085769364,0.0535205098237434,-0.003975597585372401,-0.00023031460671479875
FOXA3,0.2036843275875215,0.068247689824564,0.2034519085183437,0.0113010898178525,0.2407416449809262,0.0141433904820547,0.2035604152386164,0.0287582897083114,0.2035735566819044,0.0199338182411321,-0.008824471467179299,-1.31414432880117e-05
FOXC1,0.2158518403646853,0.0141672694873046,0.2152119252203666,-0.0097684150805498,0.2218436769198435,0.0420978476503388,0.2149783357090537,0.0017081584960949,0.2149747546426116,-0.0094784180462413,-0.0111865765423362,3.5810664421043192e-06
FOXC2,0.3159222057271319,0.016126712986316,0.3146867783408171,0.0179012615925578,0.3156382785011011,0.0238659079285483,0.3144302504993324,0.0223519611361473,0.3144997698527595,0.0063879824172282,-0.015963978718919098,-6.951935342713877e-05
FOXD1,0.1336095955539495,0.0377408964427447,0.1335434812857288,0.0075738721308159,0.1352511561112754,-0.001013348254896,0.1323673811516996,0.0347136147733435,0.132410493150325,-0.041268144833311,-0.0759817596066545,-4.311199862538917e-05
FOXD2,0.1220679799066909,0.0159244909509737,0.1210718652044633,0.0362921548278951,0.1408693746444984,-0.0749116619735441,0.12080243227168,0.0805946633938722,0.1209594436819574,0.0863957383931793,0.005801074999307099,-0.00015701141027739396
FOXD3,0.2173454040924301,0.009306038635213,0.2160659866627622,0.0499200910845034,0.2356418283039239,0.0407660572109552,0.2162382847725192,0.0372510383738707,0.2163846226866282,-0.059425314943072,-0.0966763533169427,-0.0001463379141090071
FOXE1,0.2528848345206979,0.0331521643061158,0.2508789959827004,0.0337262326664347,0.2679109067008739,0.0447869535633961,0.2500006602451024,-0.0330286973497106,0.2499750954608964,-0.0256177625871315,0.007410934762579105,2.556478420601138e-05
FOXE3,0.1615541801637476,0.0628761431000493,0.1609602694978009,0.0763123921088518,0.1786094256330425,0.0785103005656767,0.16089305366051,0.0844760723667554,0.1611422487172458,0.0628623715157213,-0.021613700851034104,-0.0002491950567358181
FOXF1,0.1836796986993878,0.1222276665484781,0.1824015447233744,0.1436958302823123,0.2004581874139259,0.0423985920439772,0.1825960380044136,0.1441480557735802,0.182557033765833,0.1546659135186176,0.010517857745037412,3.900423858060886e-05
FOXF2,0.1461175257019954,0.1187793912807347,0.1453438276430989,0.1296881130237731,0.1624889815731884,0.0579789920005251,0.1450848998846094,0.148489496533485,0.145107837530292,0.146731232802337,-0.0017582637311480132,-2.293764568259138e-05
FOXI3,0.1720351281282998,0.1015933501828408,0.1714985058476051,0.1159743406125912,0.191448669131767,0.0510237823014213,0.1716856969676962,0.1063032385147062,0.1711523755214246,0.1312359011331268,0.0249326626184206,0.0005333214462716063
FOXJ1,0.2566047768430108,0.0450637828638524,0.2509539801540922,0.04657800343701,0.1914429079170447,0.0523930608456902,0.2325821795007422,-0.0240032440160625,0.232601823362798,-0.0266492067562522,-0.002645962740189703,-1.9643862055801486e-05
