perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson,Pearson_Improvement,RMSE_Improvement
JDP2,0.1426879144600996,0.0768813860797594,0.14165551444516,0.0332665918602302,0.1591139290229448,0.0277178016429587,0.1408916508732418,0.080438848482078,0.140323124852318,0.1195712046682114,0.03913235618613341,0.0005685260209238041
JUN,0.1384761465757905,0.0765806048077059,0.1380500040322017,0.0693140826667556,0.1639555538367381,0.0820859797619544,0.1379888096834016,0.0973734891864576,0.1377250556796174,0.114184005278705,0.016810516092247388,0.0002637540037842001
JUNB,0.2790934215455984,0.0312186616722696,0.2772640469363189,0.029055599592714,0.2989023781978822,0.0460586016942765,0.2759955755876084,0.0543766570891717,0.2763264949360592,-0.0118876828709964,-0.0662643399601681,-0.00033091934845080884
KLF15,0.1266425407379155,0.0785711140918958,0.1264331666061301,0.0812344209600227,0.1461552662160572,-0.0006748124135028,0.126522281487121,0.0700420457560176,0.1263106458605042,0.0874072411816112,0.017365195425593588,0.0002116356266168018
KLF16,0.1198250578680638,0.0587385649449032,0.119546418377804,0.0712480495797956,0.1393793712723564,0.0613868587137566,0.1196074995301076,0.0746309714429985,0.1197075187874644,0.0489478974618111,-0.025683073981187403,-0.0001000192573567954
KLF2,0.1748174768983625,0.0805554840568782,0.1748010887953415,0.0654668800333367,0.1904172257930237,0.0974995229104525,0.174710971981207,0.0689203626398007,0.1751135483744344,-0.0118021700897303,-0.080722532729531,-0.0004025763932274107
KLF3,0.123747185449795,0.0948471675667611,0.1230388741094936,0.1168720257632769,0.1500132668340003,0.0965275875977055,0.1230645647710864,0.1231294715009692,0.1235019341945005,0.1041581220391528,-0.018971349461816403,-0.00043736942341410234
KLF5,0.1546106193068656,0.0727571753020675,0.1542141797281405,0.0658910900790555,0.1683394337423469,0.0377564620285281,0.1539203932583515,0.0855349348482589,0.1529049620326214,0.1402322835930232,0.0546973487447643,0.0010154312257300846
KLF8,0.1070647568765275,0.1687164035113404,0.1069428503099814,0.167581056609643,0.1251613882423314,0.1425423563367894,0.1072344894712357,0.1505995022160078,0.1064021818340872,0.2025537660028142,0.0519542637868064,0.000832307637148505
LBX1,0.2154500334275915,0.0451471767213684,0.214736322880565,0.0644940729890761,0.2334061044431642,0.0633081873424247,0.2148206864328505,-0.0048998960535424,0.2148196072475613,-0.013444788971953,-0.0085448929184106,1.0791852891878229e-06
LHX2,0.1125003730641594,0.0421516891348453,0.1120737948582771,0.0520137598790493,0.1318338264675493,0.0070345025723446,0.1119384105809842,0.0889831188002687,0.1120203537791574,0.0817947174597632,-0.007188401340505496,-8.194319817320106e-05
LHX4,0.1243957564488911,0.0264459224693568,0.1234581116943218,0.0462998106260904,0.1485078149892322,-0.0235403178024251,0.1232844065066622,0.084446725801429,0.1231318073137832,0.0997986780321803,0.015351952230751295,0.00015259919287899382
LHX6,0.1267210004593125,0.0326984597480112,0.1262535884095999,0.012460085890232,0.1625123925478241,-0.0458281205720475,0.1262095517791274,0.0153913826501534,0.1262108170381526,-0.016985757658956,-0.0323771403091094,-1.2652590251904794e-06
LHX9,0.1867849668091454,0.0139903057444141,0.1864618613208439,-0.0099719146168026,0.2004318165160516,0.0196884911189483,0.1848024408840869,0.0270374773064014,0.1844953251892496,0.0783693472466378,0.0513318699402364,0.0003071156948372955
LYL1,0.1477488839825119,0.0420665806339068,0.1470115534360926,0.0496163720692966,0.1762363074961798,0.0567462358174208,0.1464129641984198,0.1022326923172824,0.1469460600158312,0.0586898898618504,-0.043542802455431996,-0.0005330958174113998
MBD4,0.1329579144343114,0.0309052082376757,0.1318984922696074,0.0373314922057398,0.1484347154968539,0.0252210807698755,0.1316848516441963,0.0269493305101859,0.1316786625328646,0.0247949265162167,-0.0021544039939692013,6.1891113317114055e-06
MECOM,0.2155894731753715,-0.0018571799142417,0.2143040869849203,-0.0061660832395529,0.2417059794187005,-0.0254150020492379,0.21413561368059,6.729145376510037e-05,0.2141395882219834,0.0075102301540232,0.007442938700258099,-3.974541393392261e-06
MESP1,0.0947572969937469,0.0287590702392325,0.0947176909773342,0.0006200749093387,0.1066743142523449,0.0694198419592941,0.0942469849514415,0.0210524830789079,0.0942223006653615,-0.0243362838906098,-0.0453887669695177,2.4684286080003948e-05
MKX,0.1375542352635941,0.0759584766944239,0.1372126594654275,0.0890609468168774,0.1553978849891172,0.0727626513467867,0.137156022228672,0.1028617094938101,0.1362210221243066,0.1495086965279182,0.046646987034108106,0.0009350001043653966
MLXIP,0.1461910253559278,0.066125526052923,0.1457639902624469,0.0742987366652769,0.1639007519700734,0.0465028323483356,0.1460676684276456,0.0465674293155683,0.1459956702177482,0.048529228518944,0.0019617992033756984,7.19982098973948e-05
MMP3,0.4498258812267061,-0.0072795848403712,0.3329540209856919,-0.0015470096859118,0.1380594547336137,0.0269001206673257,0.2765716470221849,0.0239932041174213,0.2766002848828477,-0.0170170423405103,-0.041010246457931596,-2.8637860662816816e-05
MNX1,0.1668124373069475,0.0848220005584214,0.1663043070280213,0.0925723253965958,0.1872935350180817,0.0735733484858938,0.1665853997737768,0.0931603511202719,0.1660906713622082,0.1191550890041731,0.025994737883901192,0.0004947284115685846
