perturbation,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
BCL11B,0.029850699,0.029484916,0.025208242,0.030225366,0.03129566,0.028670209,0.031326946,0.03718259,0.03298713,0.03184257,0.021634288,0.028506698,0.021764847,0.03429267,0.031477597,0.036258154,0.03077091,0.04215966,0.03382303,0.027882032,0.026736937,0.04346999,0.03395719,0.028098037,0.029682059,0.03371451,0.035777144,0.030586952,0.031068489,0.034076415,0.031345893,0.02484222
BHLHE40,0.020990392,0.030199902,0.03584959,0.02358113,0.024834575,0.027789826,0.040990043,0.02941492,0.031354234,0.032211352,0.032066558,0.031622782,0.027158042,0.031334944,0.025421204,0.034907885,0.034024585,0.02915376,0.0346208,0.031692203,0.02963821,0.038314566,0.033714738,0.03161124,0.029676866,0.029723022,0.036056623,0.029993454,0.026857607,0.034642678,0.0412794,0.029272897
BHLHE41,0.025806064,0.030896945,0.026996944,0.030724512,0.03260645,0.026203444,0.03781026,0.029244715,0.027015239,0.032247644,0.035874274,0.031902283,0.026487647,0.0297203,0.031357605,0.032135583,0.017752765,0.0326377,0.030808378,0.030584963,0.030595366,0.040130176,0.032443136,0.03903143,0.0237127,0.034824207,0.030414319,0.045546304,0.031158783,0.032756064,0.029493304,0.031080468
BID,0.07193216,0.054891925,0.0023690327,0.16923268,0.0028420552,0.2405718,0.0032172573,0.0023255355,0.0022550998,0.0038375182,0.040982,0.0028625943,0.0024012076,0.0030157324,0.0031802794,0.0031894313,0.31138223,0.0025537105,0.003193718,0.002493519,0.0019892233,0.0031267547,0.0020137802,0.0029019606,0.0032281126,0.002022913,0.002070645,0.0028917666,0.0027647733,0.0032577224,0.0027303374,0.042272534
BNC1,0.018353263,0.032230515,0.031033207,0.022717409,0.03339863,0.030126506,0.027228752,0.028799633,0.034318775,0.033262104,0.031005245,0.029661834,0.03270622,0.03364864,0.031282745,0.04070523,0.03190809,0.031518906,0.029541852,0.028489161,0.033929825,0.03708137,0.030515896,0.032119535,0.028719544,0.028745221,0.03385633,0.032679725,0.029960256,0.03196345,0.036707696,0.03178443
BNC2,0.022976987,0.030883025,0.03527158,0.019923924,0.03412405,0.029611152,0.028789444,0.03442834,0.03452989,0.028453767,0.03581078,0.02343427,0.030616784,0.032045074,0.029994303,0.031192781,0.03213872,0.026244057,0.030589515,0.036151696,0.028313193,0.030641567,0.038590584,0.030539503,0.037890248,0.035029404,0.033550046,0.030222727,0.030897263,0.032250006,0.030900469,0.033964876
BPTF,0.02018802,0.02838157,0.019301718,0.044841245,0.029589666,0.025919564,0.031476244,0.038632967,0.02926707,0.050565783,0.04843981,0.035636045,0.031913716,0.028106775,0.028377483,0.03378456,0.027384274,0.02939981,0.032650255,0.018326364,0.030489422,0.03276233,0.0324563,0.034409292,0.030001221,0.026069311,0.030274456,0.02780093,0.031092959,0.03127387,0.028462792,0.03272422
BSX,0.029369691,0.026848815,0.044668566,0.02106631,0.029095884,0.025421262,0.031024551,0.027005862,0.029936299,0.026742669,0.04108464,0.026292527,0.04361924,0.035930973,0.021554364,0.03437888,0.02503582,0.05930358,0.04698378,0.023244219,0.034740683,0.03205362,0.026780255,0.02703668,0.026511999,0.032685325,0.03241362,0.027334558,0.029189833,0.03512073,0.02170589,0.025818866
CARHSP1,0.81623834,0.002613051,0.0021797032,0.0029676661,0.0030242223,0.0027380327,0.0024912837,0.0025574763,0.002752345,0.0032244283,0.0023335181,0.0019326935,0.11027194,0.0031913521,0.0018792747,0.0019709442,0.0020496366,0.0017474131,0.0019390058,0.0,0.0028525067,0.002608646,0.0028628947,0.0027357826,0.002720816,0.0024588786,0.0029212458,0.002581294,0.0027543174,0.0026739798,0.0019556354,0.0027716698
CASZ1,0.019826867,0.024855789,0.0076634106,0.14938232,0.020276912,0.022985263,0.026873857,0.031360768,0.0215522,0.024883812,0.023719862,0.023344176,0.022367826,0.08251598,0.024425434,0.025189715,0.03980777,0.02075649,0.031393986,0.056357417,0.03178163,0.021790966,0.039556187,0.026679901,0.023245797,0.010929073,0.027878061,0.027813591,0.02422732,0.026060315,0.021131437,0.019365862
