perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson
PAX2,0.16048239867959943,0.09069316047939964,0.1596107199988787,0.121117881871151,0.1760826413514531,0.1046510621797837,0.158592725620253,0.164053567928153
PAX3,0.16433820877277253,0.03565978970441091,0.1633059731472753,0.0261194622340502,0.1969096292895006,-0.0099226032515507,0.162975316630863,0.0650821640988611
PAX5,0.18301016186714225,0.10703236372494387,0.1825770341596654,0.1167323054451505,0.2028314593436078,0.058694949706411,0.1805842641723,0.180291481767294
PDX1,0.12738722617804646,0.0449586253802115,0.1268210281525862,0.0867872854940858,0.1563698823557368,0.0067333741939587,0.126751843290758,0.0786673105405266
PHOX2A,0.14678953347855636,0.05312746860977623,0.146480252152955,0.0507909598943276,0.1670560147346263,0.0430254254738086,0.145987494595265,0.095387444834643
PITX1,0.10670543989172505,0.03903096776124283,0.1054683281280993,0.0478458444714736,0.1197818088244352,0.0528436839410923,0.105479238988933,0.0549125312900402
PLAG1,0.2514376083999761,0.06671428822227295,0.2433903938197673,0.0928671995917905,0.2423979466957326,0.0274129871566646,0.242654782802933,0.0963384224579373
PLAGL1,0.23297674260304257,0.06255139444111277,0.2151289992178407,0.0227672409213499,0.4091525757597162,0.0003089919831926,0.212008823575556,0.0595771474490169
POU4F2,0.14453497972332166,0.052367891871064096,0.1436859264034091,0.010146333930373,0.1576381477077897,0.0428147427393039,0.14384359962604,0.0416195078723592
PPARGC1A,0.2445031742433677,0.10060688937976248,0.2420810705624401,0.1101123034215557,0.251558197260872,0.1730282487468837,0.23979364958416,0.154746381079904
PRDM1,0.19440054483723448,0.11492063425052983,0.1942421017801986,0.1156673085650283,0.2162097245964615,0.1307441158162404,0.192898004925159,0.160077985478079
PRDM16,0.16977375867150082,0.02554966184926103,0.1692482443707226,0.0169029566805106,0.195475631532705,-0.0055092614317165,0.169315922380172,0.0003715476938335
PROX1,0.13933914255661006,0.08312678829168367,0.1386762075894829,0.1028711634184861,0.1562691278558217,0.0331586498739187,0.138544487744733,0.111342586558261
PRRX2,0.12416853980696457,0.026300395922730944,0.122653774056027,0.0310411613778529,0.1331974792242861,0.042410416230329,0.122374805867455,0.0467068380394354
PSAP,0.1379298577105228,0.006996247949543194,0.1342016049604775,0.0179339553436471,0.1452489405512234,-0.0024962270965851,0.133896886523359,
PTF1A,0.13405452729991338,0.03462473709979563,0.1334699774986324,0.0696409547202742,0.1546475135426773,0.0658179211581566,0.133585766018199,0.0556028312834005
RBMS1,0.10036069299351781,0.04433636121042487,0.0995250164720901,0.0720659344366595,0.1230141807739725,0.0141084194614659,0.0996544539989538,0.0718199654040341
RBPJ,0.1251860775806849,0.018587256734278444,0.1249445292451029,-0.0169683285367153,0.1485229578487238,0.0124930757853125,0.12482225560751,
RERE,0.1396781377734396,0.028369944956057602,0.1389628001427709,0.0537357551798733,0.1559249459419243,0.0211590315423621,0.139061000307141,0.0415158974030404
REXO1,0.17200546980202183,0.014843689963975079,0.1711383929756696,0.0409726805833742,0.2029091459256337,-0.056915780447378,0.171269305441428,0.0370418787274924
