perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
ZBTB42,0.23217664727618081,0.0066412837697549685,0.24576414787380188,"(128, 64, 32)",0.01,0.0001
ZEB2,0.2092785655645979,0.019124218481670823,0.22886014889621134,"(128, 64, 32)",0.01,0.0001
ZFP36L2,0.1298718538823109,0.0036505388044039775,0.13931773534058287,"(32,)",0.001,0.001
ZFPM2,0.13459039222859287,0.009160894257300194,0.14352965282841545,"(32,)",0.001,0.001
ZIC2,0.18886723254479967,0.023624510793654303,0.1901476064977679,"(128, 64, 32)",0.01,0.0001
ZNF136,0.1897212069805151,0.05668285925532069,0.1956141837903969,"(64,)",0.001,0.001
ZNF286B,0.19547830705462158,-0.045342627523177886,0.19642813293731778,"(128, 64, 32)",0.01,0.0001
ZNF296,0.16088594196923298,0.08827609930254529,0.18709387069003308,"(64,)",0.001,0.001
ZNF618,0.135867716251739,0.03185793031559741,0.13650549979188598,"(32,)",0.001,0.001
ZNF777,0.14360101687323915,0.035887374943450595,0.1517370907528804,"(128, 64, 32)",0.01,0.0001
ZNF827,0.1895107165103129,0.02278298728228138,0.2130476508491145,"(128, 64, 32)",0.01,0.0001
