perturbation,rmse_test,pearson_corr_test,cv_rmse_mean,hidden_layer_sizes,alpha,learning_rate_init
PAX2,0.17608264135145313,0.10465106217978376,0.1823002037573823,"(128, 64, 32)",0.01,0.0001
PAX3,0.1969096292895006,-0.009922603251550704,0.18211367650681873,"(32,)",0.001,0.001
PAX5,0.20283145934360783,0.058694949706411,0.20240318234474186,"(128, 64, 32)",0.01,0.0001
PDX1,0.15636988235573684,0.006733374193958721,0.14505715399751634,"(32,)",0.001,0.001
PHOX2A,0.16705601473462636,0.0430254254738086,0.1704730628087596,"(32,)",0.001,0.001
PITX1,0.11978180882443527,0.05284368394109236,0.12775825682806077,"(32,)",0.001,0.001
PLAG1,0.24239794669573264,0.027412987156664646,0.26895682868870546,"(128, 64, 32)",0.01,0.0001
PLAGL1,0.4091525757597162,0.00030899198319269994,0.18639597883954995,"(128, 64, 32)",0.01,0.0001
POU4F2,0.15763814770778975,0.042814742739303954,0.16827587184599407,"(128, 64, 32)",0.01,0.0001
PPARGC1A,0.251558197260872,0.17302824874688377,0.26378739519525385,"(128, 64, 32)",0.01,0.0001
PRDM1,0.2162097245964615,0.13074411581624049,0.21192851548040004,"(128, 64, 32)",0.01,0.0001
PRDM16,0.195475631532705,-0.005509261431716595,0.19163833206051928,"(128, 64, 32)",0.01,0.0001
PROX1,0.15626912785582175,0.03315864987391873,0.1634891795635078,"(128, 64, 32)",0.01,0.0001
PRRX2,0.1331974792242861,0.04241041623032901,0.14683929952346414,"(128, 64, 32)",0.01,0.0001
PSAP,0.14524894055122345,-0.002496227096585108,0.16166069108872078,"(128, 64, 32)",0.01,0.0001
PTF1A,0.15464751354267736,0.06581792115815663,0.1556461668658122,"(32,)",0.001,0.001
RBMS1,0.12301418077397251,0.014108419461465984,0.11984232228816553,"(32,)",0.001,0.001
RBPJ,0.14852295784872388,0.012493075785312547,0.14895255537669777,"(128, 64, 32)",0.01,0.0001
RERE,0.15592494594192433,0.021159031542362112,0.16354811997258584,"(128, 64, 32)",0.01,0.0001
REXO1,0.20290914592563378,-0.05691578044737802,0.19374236917675178,"(128, 64, 32)",0.01,0.0001
RREB1,0.1330112164941822,0.0641556328291072,0.13665612202494312,"(32,)",0.001,0.001
RUNX1,0.2084166837560895,-0.012996299123834406,0.19955982778520626,"(128, 64, 32)",0.01,0.0001
RUNX2,0.23547944480623356,-0.008876847363300966,0.23578944208007116,"(128, 64, 32)",0.01,0.0001
SALL1,0.1697427707386825,0.043871418304262576,0.169340373788954,"(128, 64, 32)",0.01,0.0001
SALL3,0.13437214517029317,0.11401247243490027,0.1395385937870463,"(128, 64, 32)",0.01,0.0001
SATB2,0.12288937828775645,-0.00819823509805418,0.1251205971293968,"(32,)",0.001,0.001
SIX4,0.18892748766215567,-0.03465913269688575,0.17944820721317845,"(32,)",0.001,0.001
SMAD1,0.19388427593714,0.05191517393218251,0.18114826310990692,"(128, 64, 32)",0.01,0.0001
