perturbation,KNN_RMSE,KNN_Pearson,XGBoost_RMSE,XGBoost_Pearson,MLP_RMSE,MLP_Pearson,ElasticNet_RMSE,ElasticNet_Pearson,ElasticNet_1024_RMSE,ElasticNet_1024_Pearson
FOXD1,0.13285084974835082,0.058670902543952866,0.1332893780062239,0.0361115054501823,0.1460174589310901,0.0537108140890695,0.13169999315008102,0.09844057934210475,0.1319296563520934,0.09841093275159088
FOXD2,0.12144739505858282,0.037508892399940076,0.1208140316547738,0.080730465631982,0.1522368465588703,-0.0019275030498668,0.1209135076254334,0.08027490576705168,0.1205185959248792,0.11085193461522495
FOXD3,0.21683364774398692,0.049362741113095236,0.2164401805490931,0.0521526602904289,0.2364670708200493,0.0396391695373362,0.2164111216646214,0.04181617046252114,0.2164453649517482,0.03913145312179148
FOXE1,0.25155768014994123,0.04760322139359026,0.2511531043556145,0.0216413948050595,0.2708273230973937,0.0655532696314283,0.2495617605365502,0.063281121893958,0.2490933581163378,0.0869238041263536
FOXE3,0.1616415001456875,0.06619217571918821,0.1614374780165136,0.0674518464096205,0.1826591172523413,0.0519681309521056,0.1613963680941738,0.07054413164267001,0.16150790030500423,0.058377445674478425
FOXF1,0.18045164804680605,0.20856533518107243,0.1811625988220019,0.1876313985711319,0.212318230081821,0.1377151340912936,0.1799820879773528,0.21262080351404583,0.178122305871483,0.2549472236358038
FOXF2,0.1444506975569029,0.17219226486408395,0.1450950966503376,0.1380536276591724,0.1674583193446182,0.120534706808882,0.14408709486109159,0.18401504003053598,0.1429428445997954,0.22218716845677616
FOXI3,0.17040320593640085,0.16115046182659581,0.1695912679602338,0.1792260488787392,0.1963961784884328,0.1542437766471975,0.16850339490591698,0.21132232723203642,0.1664720642294194,0.26382872684937897
FOXJ1,0.2556959212068111,0.07819532824049188,0.2435690309106456,0.0416314777646891,0.4567388620345318,0.0057524571567508,0.231487563223416,0.07431490011635575,0.230885284098827,0.10949784008017494
FOXL2,0.1580521607478204,0.14511874334319505,0.1533891887801756,0.1947991258414925,0.1803660280991219,0.1709702127284749,0.1528355831474688,0.215264693957289,0.151565885259289,0.2528003074202834
FOXP4,0.1483808089853137,0.15658202777207755,0.1484413217813249,0.1683343328239249,0.1727227206169309,0.0184157934410185,0.1479286320697458,0.1702914790546972,0.148033220891143,0.1669252992270198
GATA2,0.2777912421830471,0.14410078467182325,0.2773230902389641,0.1127403877807668,0.2844305163559678,0.1312566837059907,0.27569337191714804,0.13567210923211862,0.2759690777858502,0.12805012361905813
GATA3,0.14157679091779754,0.22870614505966672,0.1417681677895926,0.2223604328043188,0.1689732018527492,0.1269259226008533,0.140837832031491,0.243778687849547,0.137806182028891,0.3156146489641896
GATA4,0.21094524358875869,0.14324208169569047,0.211160644665158,0.111939494999602,0.2295476940220606,0.116718091770988,0.2098770680872762,0.14949226748026168,0.2081791250886822,0.1983819800681246
GATA6,0.23183411845551755,0.10644043832106673,0.231475251069635,0.0955041061232588,0.2719026846590043,0.0729758825075248,0.231088128609384,0.1240750681609468,0.2296076369414514,0.1675538458349984
GFI1,0.13976745548735442,0.0813315938773195,0.1398671131661385,0.0594698574502027,0.1625507326048733,0.0584369831002159,0.13977040507560481,0.07382808751473094,0.1394314789967844,0.09892556397722121
GLI1,0.2015812367415513,0.09215488865022774,0.1983977664885094,0.1502055695711358,0.2279111896264592,0.0699473641985066,0.1985914230063064,0.12975446226995108,0.1979887351747096,0.149168316194999
GLIS3,0.15766428190297094,0.09984645580649838,0.1572765818102667,0.1083395690119691,0.1834311321675268,0.1112828342252263,0.1556287295910052,0.1637282038357344,0.1552512434003198,0.179414331404845
GSC,0.18581076630382742,0.08818431774496686,0.1856199293903901,0.0934613926167416,0.2141420792378665,-0.0065400754501608,0.1853085197484796,0.10216411927345688,0.1845291680799146,0.1369091442758968
GSX2,0.172573759564268,0.053547601487462335,0.1720672712298112,0.0431312584727742,0.1976989021015713,0.0314724727268595,0.1716543018796886,0.08902324989919168,0.1720156377534334,0.058255014801597005
GTF2B,0.16290843883762623,0.02128924221739454,0.1609312120915202,0.0467041415265728,0.1706834137091039,0.0313245488332244,0.1612028462447394,0.03978974151426884,0.16127087596024942,0.004693720531072825
