perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
HHEX,0.2296962198468856,0.1098516837088744,0.2263688767397771
HIC1,0.1504466711394546,0.0531298029353052,0.1566429671515781
HIVEP1,0.16886388927248,0.1053295107954276,0.1685127496712961
HMGA1,0.2005792594128692,0.0316581628702453,0.2114002574483597
HMGN2,0.1849988022366379,0.0873791939117654,0.1960805794046951
HMX3,0.2137801620510046,0.0628332084578008,0.1981327269461903
HNF1B,0.3190331158311986,0.0004343137366256,0.3289443068863584
HNRNPAB,0.4731374568231493,0.074490182433838,0.4768038597600306
HOXA13,0.3104653483758791,0.0457787868024901,0.3030694996424262
HOXC9,0.2186937622776351,0.0459304028278159,0.2165349110693307
HOXC13,0.2904968806625829,0.002269491788822,0.2853495054056882
IFI16,0.1429573311377163,0.0592068444418778,0.1684858150769749
IKZF2,0.1748869721945765,0.0013341591411842,0.1773867512004075
IKZF5,0.2478284782333308,0.0279721415872042,0.23753896325753
INSM2,0.2235967822847385,0.0553137722142012,0.2204126275513703
IRF1,0.2486937000606786,0.3360974829304506,0.2234837736381254
IRF4,0.2012732548913591,0.0865795211031332,0.2095001454765114
IRX3,0.1751235084234038,0.0350046795576434,0.1799812043358165
JDP2,0.1591139290229448,0.0277178016429587,0.1647914086663435
JUN,0.1639555538367381,0.0820859797619544,0.1593066142528552
JUNB,0.2989023781978822,0.0460586016942765,0.2957306153680623
KLF2,0.1904172257930237,0.0974995229104525,0.19681960621096
KLF3,0.1500132668340003,0.0965275875977055,0.1412362093688058
KLF5,0.1683394337423469,0.0377564620285281,0.1767437682113129
KLF8,0.1251613882423314,0.1425423563367894,0.1233960260097774
KLF15,0.1461552662160572,-0.0006748124135028,0.1493876813452369
KLF16,0.1393793712723564,0.0613868587137566,0.1394009023155939
LBX1,0.2334061044431642,0.0633081873424247,0.2361813651401144
LHX2,0.1318338264675493,0.0070345025723446,0.1321319902769732
LHX4,0.1485078149892322,-0.0235403178024251,0.1436534959224383
LHX6,0.1625123925478241,-0.0458281205720475,0.1432573626670669
LHX9,0.2004318165160516,0.0196884911189483,0.2069134335756488
LYL1,0.1762363074961798,0.0567462358174208,0.1677888679965886
MBD4,0.1484347154968539,0.0252210807698755,0.1558376548125488
