perturbation,rmse_test,pearson_corr_test,cv_rmse_mean
INSM2,0.2070054237999071,0.0479958620962529,0.2265833292085387
IRF1,0.2362731709650309,0.0132749907350173,0.2270548101177872
IRF4,0.1982264637294106,-0.005397749993698,0.2125404927588168
IRX3,0.1741718922260494,0.0255758808801931,0.1791674226403692
JDP2,0.1413163648756268,0.0332931518435384,0.1678836665922127
JUN,0.1592807006790699,0.0415367128956014,0.1619080763446504
JUNB,0.2850377079730097,-0.0252447035023967,0.3006599475817922
KLF2,0.1919185542585561,0.0553883035444041,0.1999254790779443
KLF3,0.1365229589283813,0.0154753855352197,0.1492883556391401
KLF5,0.1625869221383133,0.0520562701448981,0.1799952763827249
KLF8,0.1175549992526993,-0.0220077641586689,0.1299248650539067
KLF15,0.1430808861986333,0.0424019593711831,0.1477149909406686
KLF16,0.1273939988627251,0.0665946741436716,0.1419966793333598
LBX1,0.2350945768959242,0.0067577775604384,0.2402840082228633
LHX2,0.13411466898247,0.0186009076186899,0.1311897624258748
LHX4,0.1463361000918564,0.0128638348373465,0.1449068364416762
LHX6,0.1445664756068393,-0.0261155338889119,0.1497493807115349
LHX9,0.2363842289633432,-0.0059056296556664,0.1992820777555717
LYL1,0.1616734525329663,0.0276037331201798,0.1708000520310198
MBD4,0.1406248080556404,0.0306429162820936,0.1552357472950165
MECOM,0.2399157654171989,-0.0366702356867912,0.2373749192606971
MESP1,0.1055396248522516,-0.0433612167615094,0.1148254592295326
MKX,0.1549955810402259,-0.0336009110330619,0.1633462838448129
MLXIP,0.1670323369315458,-0.0189424223361128,0.1697828869787122
MMP3,0.1426374560400017,-0.0475764062107065,0.3336367202859644
MNX1,0.1841981172289337,0.0391030815535278,0.1922794529326335
MXI1,0.2093994708747311,0.072101702997505,0.207530377424164
MYBL1,0.1779269624723823,-0.0197985275897968,0.1854361567557056
MYC,0.1950095648315786,0.1062295683228807,0.2164559074022949
MYCN,0.225671914484079,0.0524412283065456,0.2397469451974815
MYOD1,0.1428657830004199,-0.0248822046071846,0.1472049993083218
MYRF,0.1926087212306869,0.0332021218230935,0.1772921012025792
NCOA3,0.1253744124694437,-0.0358913509386462,0.1408098924571499
NEUROD1,0.1806607177339463,0.0264734230370799,0.1824488305753344
NEUROD2,0.286961780709439,0.007438682369909,0.2816910563384225
NFATC1,0.1816759770309414,0.0216896671163501,0.1718571076038891
NFE2,0.1554544422353219,0.0572795657997649,0.1679094108387703
NFE2L2,0.1761535436117007,0.0054138991266077,0.2192137485013273
NFKBIA,0.1646686404384661,0.0289417812969943,0.1868320523650747
NHP2,0.1475273929385873,0.0271296618765907,0.1662592846633666
NKX1-2,0.1727411026702393,-0.0222227068739464,0.1678747540201316
NKX3-1,0.2076292978246569,0.0798508497691651,0.2276636214984533
