TF,k,MSE,RMSE,Pearson,Spearman
MYBL1,75,0.025483209805609024,0.15963461343207813,0.15674526762721666,0.10974745602692945
MYC,50,0.035799866164147244,0.18920852561168391,0.2689306646403621,0.15728511842934947
MYCN,75,0.04588416433415659,0.21420589238897372,0.16267856517308735,0.08250825560213915
MYOD1,100,0.015771494049985783,0.1255846091286101,0.032122054747936404,0.024870109712569553
MYRF,100,0.025772061291817777,0.16053679108484067,0.011940934439982004,0.03201059955330074
NCOA3,100,0.013824853490985969,0.1175791371416969,0.037210938228857945,0.03991512119924319
NEUROD1,25,0.024850296152557343,0.15763976704041827,0.18922699922659958,0.21635333223323241
NEUROD2,50,0.0692020655231883,0.26306285470052265,0.09800237311781879,0.12412730161286423
NFATC1,100,0.02330925640367536,0.15267369257234648,-0.011782101832287558,0.00424320340364547
NFE2,75,0.021196408073380114,0.14558986253644213,0.07392661072693744,0.06881533257750802
NFE2L2,50,0.03737845349974568,0.1933350808822488,0.14062151264896028,0.09240863356818296
NFKBIA,75,0.027081237472787012,0.16456377934644978,0.015311130371588072,0.02533822170258863
NHP2,100,0.02027737479758124,0.14239864745699393,0.02563714841174585,0.018403490782309663
NKX1-2,100,0.021580069156313563,0.1469015628109979,0.03898874906509862,0.0346161478617245
NKX3-1,75,0.041068557976208946,0.20265378845757842,0.12934886378855656,0.06949997291065745
NKX3-2,100,0.02315800961429303,0.15217755949644163,0.05180872355200951,0.04056044833338197
NKX6-2,75,0.012653028066190569,0.11248567938271328,0.08488957195745835,0.0661289324994672
NME2,100,0.01435649788381584,0.11981860408056771,0.06179731930751906,0.06217502382082414
NOTO,100,0.016086648622111368,0.12683315269325826,0.06554374674566468,0.06690365656447135
NR2F2,100,0.020621487350953184,0.14360183616845984,0.1104087461642331,0.08455616487349651
NR4A1,100,0.04151109030928399,0.20374270614989876,0.0202456740388038,0.004121991903086252
NR4A3,75,0.03823530607472432,0.19553850279350182,0.023712141444148946,-0.005355376700264728
NSD2,50,0.03827386230803212,0.1956370678272196,0.07172801883579263,0.06597819936436851
ONECUT3,50,0.016347382903592146,0.12785688445911758,0.146591051541885,0.13630336339694554
OSR1,100,0.01982261990703197,0.1407928261916493,0.016416362810591174,0.01644163774904271
OSR2,100,0.02214929188875258,0.14882638169609774,0.023417581752954365,0.02495692609485751
OVOL1,75,0.04837599921125509,0.21994544598889765,0.10362048605697172,0.061074052096050234
OVOL2,50,0.04264574724184703,0.20650846772432124,0.07988799799748385,0.054086091862783806
PARP1,100,0.02215870026618386,0.14885798690760219,-0.013297649148757886,-0.009331159014092602
PAX2,75,0.025754600285957895,0.16048239867959943,0.09069316047939964,0.0956687933709974
PAX3,50,0.02700704686264337,0.16433820877277253,0.03565978970441091,0.041421341719267445
PAX5,75,0.03349271934663761,0.18301016186714225,0.10703236372494387,0.1104357765500203
PDX1,100,0.016227505393336766,0.12738722617804646,0.0449586253802115,0.02240823953494239
PHOX2A,100,0.02154716713885222,0.14678953347855636,0.05312746860977623,0.07308455012349986
PITX1,75,0.011386050902486549,0.10670543989172505,0.03903096776124283,0.03371911512129731
PLAG1,100,0.06322087091789971,0.2514376083999761,0.06671428822227295,0.0815135019559173
PLAGL1,100,0.05427816259392435,0.23297674260304257,0.06255139444111277,0.04521099256101833
POU4F2,100,0.020890360363621005,0.14453497972332166,0.052367891871064096,0.03643506334226491
PPARGC1A,25,0.05978180221508263,0.2445031742433677,0.10060688937976248,0.07725699488671035
PRDM1,75,0.03779157183301361,0.19440054483723448,0.11492063425052983,0.08712641120674643
PRDM16,100,0.028823129133448998,0.16977375867150082,0.02554966184926103,0.030747370510345807
PROX1,50,0.019415396648411305,0.13933914255661006,0.08312678829168367,0.07359450246858294
PRRX2,100,0.015417826277793745,0.12416853980696457,0.026300395922730944,0.03722729960025943
PSAP,100,0.019024645648045062,0.1379298577105228,0.006996247949543194,0.016068424718612407
PTF1A,100,0.01797061628960322,0.13405452729991338,0.03462473709979563,0.031484323439894164
RBMS1,50,0.010072268698139134,0.10036069299351781,0.04433636121042487,0.026054118344676597
RBPJ,100,0.015671554020037257,0.1251860775806849,0.018587256734278444,0.019535730691016263
RERE,75,0.019509982171855976,0.1396781377734396,0.028369944956057602,0.015796720751816297
REXO1,100,0.029585881641814242,0.17200546980202183,0.014843689963975079,0.01706016513493836
RREB1,100,0.01333997759274883,0.11549882074181031,0.1354479847061915,0.14504824989762843
RUNX1,100,0.03262738724768815,0.18063052689866171,0.058631067348022335,0.043908378849341
RUNX2,100,0.04655105886976811,0.21575694396651088,0.01791913404974426,0.015892741734990574
SALL1,25,0.022783937880289023,0.15094349234163434,0.04479431834053009,0.02670112822649897
SALL3,100,0.014069600111475645,0.11861534517707076,0.05835164412321294,0.02966383631963248
SATB2,50,0.010960217691345144,0.10469105831610044,0.03863340213939155,0.034279545276425474
SIX4,100,0.025140953733698262,0.1585589913366576,0.004688522925084053,0.0027349641924390676
SMAD1,100,0.025964735965612124,0.1611357687343568,0.09149216859938843,0.07723120653117196
SMAD5,50,0.02906586601987916,0.17048714326857367,0.07975567278545255,0.051332328493416346
SMAD6,100,0.02188449258672141,0.1479340818970443,0.09236855025680915,0.05137912348523421
SMARCA1,100,0.026224321844433417,0.16193925356266595,0.03634566666816803,0.0330683943023487
SMARCA2,100,0.011832842942708397,0.10877887176611273,-0.02792744898914735,-0.0242169658280936
SNAI1,100,0.02422024851731928,0.1556285594526894,0.07971743540767591,0.07242299374390943
SOX8,100,0.02782933283176381,0.16682126013120693,0.07301156049842897,0.06447266182854798
SOX9,50,0.02788114323580901,0.1669764750969699,0.06368070692573333,0.04262890648558219
