TF,k,MSE,RMSE,Pearson,Spearman
IKZF2,100,0.024135657289017152,0.15535654890933034,0.02186447347773211,0.020319348824734577
IKZF5,100,0.049043432921528775,0.22145751945131323,0.0566247474186667,0.05730935312512838
INSM2,75,0.04086953305421375,0.20216214545313313,0.03705517270173916,0.019916624330814533
IRF1,100,0.044252698104072834,0.21036325274171064,0.061975261372418135,0.045169716545014935
IRF4,75,0.03653146510919906,0.1911320619603081,0.03332546704664512,0.04966922564473869
IRX3,100,0.024496073518702026,0.15651221523798717,0.01408302387335679,0.017090488613488247
JDP2,100,0.02067813470317981,0.14379893846332736,0.012505302151717686,0.02316867941637557
JUN,100,0.019353021737795788,0.13911513842064704,0.01205598055330815,0.02779601277243121
JUNB,100,0.07727209631471885,0.2779785896696342,0.03852537420870795,0.030969487815508744
KLF2,100,0.030839887238543258,0.17561289029721952,0.03093480055787638,0.027772486906649196
KLF3,50,0.015496804023461772,0.12448615996753122,0.04085774493653913,0.03804662064025656
KLF5,100,0.02420482251726289,0.15557899124644975,0.008644747906983488,0.01739326340440885
KLF8,50,0.011830652666563265,0.10876880373785153,0.06834138469914153,0.06633301112373725
KLF15,50,0.016232286562257964,0.12740599107678557,0.06782972188599606,0.06544251867275487
KLF16,75,0.014425319238326753,0.12010545049383377,0.015212393909318717,0.015655385293599396
LBX1,100,0.04647428657228806,0.21557895670099173,0.03837736851156404,0.03933291574385327
LHX2,100,0.012669393352110758,0.11255839974036037,0.06610541737497952,0.078153898674571
LHX4,100,0.015486699513402364,0.1244455684763518,-0.01139644926136209,-0.014095526737112462
LHX6,100,0.01613534551662134,0.1270249798922296,0.018468605871305895,0.018646765619489022
LHX9,100,0.03488802174105989,0.1867833550963787,0.00719278037878672,0.009461899431065733
LYL1,100,0.02186596935135694,0.1478714622615092,0.017229552194492962,0.027417593836277798
MBD4,100,0.017746378515455248,0.13321553406211772,0.018982892878046616,0.017094429186065695
MECOM,100,0.046218454495920255,0.21498477735858476,-0.009551057161534501,0.0025366151801190385
MESP1,100,0.008945362823714642,0.09457992822853399,0.057208115349310126,0.04914693176350314
MKX,100,0.01921715502998842,0.13862595366665081,0.008628252203769468,0.012545625412625971
MLXIP,100,0.02146155895412425,0.14649764146266742,0.019156559352364787,0.023234495300723933
MMP3,5,0.24806868146179878,0.49806493699295756,0.024255560320720564,0.0013189047865873862
MNX1,100,0.028075158980868663,0.16755643521174787,0.03168726315336175,0.035565520542375696
MXI1,100,0.034966454548793824,0.1869931938568723,0.15281761915476674,0.1010529494076156
MYBL1,100,0.02608061667103979,0.1614949431748245,0.07675495178640585,0.06480188424742558
MYC,75,0.03686928807841853,0.19201377054372565,0.20337416708256226,0.11083624869676076
MYCN,100,0.04676130910245693,0.21624363366919483,0.09427854390702402,0.0427826195153784
MYOD1,100,0.015821814760067717,0.1257847954248355,0.023275464606099437,0.02341454745928647
MYRF,75,0.025721607831713296,0.16037957423473007,0.044137507840927466,0.03615319357820598
NCOA3,100,0.013911830169995549,0.11794842165114186,0.014826444621415002,0.015755287679909233
NEUROD1,100,0.025718131250700067,0.16036873526563733,0.047804544668133796,0.06875954265998359
NEUROD2,100,0.07041245412813765,0.2653534513213228,0.005508720924995406,0.02573616095413207
NFATC1,100,0.023395558617471814,0.1529560676059365,-0.0035629109678174077,-0.008568014604432501
NFE2,100,0.02149435661030133,0.14660953792404274,0.015324056103654043,0.017541456560076087
NFE2L2,100,0.038841993442410114,0.1970837219112987,0.01634489297071409,0.0293468210253399
NFKBIA,100,0.02709364945996859,0.16460148680971443,0.021000593213335913,-0.0003118634145828091
NHP2,100,0.02041269326297926,0.14287299696926378,0.0256107983341561,0.02600018894799273
NKX1-2,100,0.02155521248208626,0.14681693527003709,0.06695906064836535,0.058784060401537885
NKX3-1,100,0.04172690234406348,0.20427163861893183,0.055278983010926964,0.017839661282897743
NKX3-2,100,0.023139896323324242,0.15211803418176376,0.05051277487460791,0.039380684914686395
NKX6-2,100,0.012633673486699507,0.1123996151536984,0.052528868111699635,0.0454944160312728
NME2,100,0.014595866779584538,0.12081335513752003,0.01041978329893867,0.014038190052764934
NOTO,100,0.016026956432666044,0.12659761622031454,0.08568087526349658,0.08735796155561668
NR2F2,100,0.020824077600598078,0.14430550093672131,0.08084313034609779,0.07343801863228908
NR4A1,75,0.04200119315855911,0.20494192630733007,0.0003473477225893563,-0.0013649931131080166
NR4A3,100,0.038515801569698985,0.19625443070080986,-0.008686082455629674,0.004608435748678821
NSD2,100,0.03859746409256232,0.19646237322337912,0.020378036985469857,0.019696870886928758
ONECUT3,100,0.016834828496205746,0.12974909824814101,0.021200364936139054,0.028335047780008126
OSR1,100,0.01988211508214961,0.14100395413657593,0.016925403471769095,0.0202124274284406
OSR2,100,0.02219496857401737,0.1489797589406607,0.027206383549251274,0.04699053470722957
OVOL1,75,0.0494219288935545,0.22231043361379713,0.01143469536194992,0.003584386024101384
OVOL2,100,0.04312801991715142,0.20767286755171321,0.012613052900240779,-0.003285326772006633
PARP1,50,0.022468511939265245,0.14989500304968556,-0.020758225279039918,-0.025738663258876592
PAX2,100,0.025735865214743144,0.16042401695115088,0.09282659853641402,0.09716099279390641
PAX3,100,0.026972310928704286,0.16423249047829813,0.0049034893622578735,0.007055686277947179
PAX5,100,0.03374917975467476,0.18370949827016228,0.08586987806112156,0.07790501396659642
PDX1,75,0.016216485053669315,0.12734396355410535,0.07923489859864506,0.08347772231502681
PHOX2A,100,0.021306600915990202,0.14596780780703053,0.1196355134750469,0.10827546653151021
PITX1,100,0.011438962606958836,0.10695308600951557,-0.0018675507356503411,-0.00279752374775302
PLAG1,100,0.06334014483181805,0.25167468055372205,0.06543899225767637,0.0845337268827405
PLAGL1,100,0.05458024931758193,0.23362416252943943,0.01818413842322587,0.014220323982580736
POU4F2,25,0.0215120886623823,0.14666999918995807,0.015307656146187417,0.013048730812050269
PPARGC1A,100,0.060338060896107396,0.24563806890648565,0.0032950187482395235,0.00022284329458684832
PRDM1,100,0.037295603293147406,0.1931206961802577,0.16182160732956377,0.15363621333867722
PRDM16,75,0.02910402459713457,0.17059901698759747,-0.004682055374338349,-0.012185717084508826
PROX1,50,0.019533487042669613,0.1397622518517415,0.05562880095217086,0.04928567283145403
PRRX2,100,0.01540756204853228,0.12412720108232635,0.04208704269926318,0.031758725308427174
PSAP,75,0.01887149817018085,0.13737357158558866,0.08849416750339276,0.10724506822791538
PTF1A,100,0.018059374941354227,0.13438517381524728,-0.0011204474042568178,0.0022512573729364565
RBMS1,75,0.010122831962147524,0.10061228534402508,0.0045845093311452,0.0023108340905136637
RBPJ,100,0.015628559605623406,0.12501423761165528,0.033144827898053716,0.028791358574653238
RERE,100,0.019347889849404127,0.13909669244595332,0.06232442722723165,0.05565511175112277
REXO1,100,0.02958065620998975,0.17199027940552267,0.02322079254720059,0.0211977583213463
RREB1,100,0.013600896311420363,0.1166228807371022,0.03748792802641584,0.04455112968955973
RUNX1,100,0.0326546148346321,0.18070587935823254,0.041861424674899,0.043441762049027874
RUNX2,100,0.04624259536296869,0.21504091555554883,0.03759663166666358,0.04533336857646351
SALL1,75,0.022297460174481937,0.14932334102370579,0.05518878540762022,0.04970515667325191
SALL3,100,0.014116286174967746,0.11881197824700902,0.04480518060234749,0.048302120336786804
